id;codigo;estado;fecha;modo_pago;tipo_factura;fecha_pago;cantidad;sucursal
1;CFA Franc BEAC;CANCELADO;2020-05-14T10:29:48;EFECTIVO;COMPRA;2020-05-13T20:19:18;98695;18975
2;Home;CANCELADO;2020-05-14T03:30:26;TARJETA_CREDITO;VENTA;2020-05-14T01:35:28;61922;23223
3;Borders Future;PENDIENTE;2020-05-14T16:18:54;GIRO;DEVOLUCION;2020-05-14T17:29:16;22553;31826
4;blue Granite;PAGADO;2020-05-14T04:16:38;TARJETA_CREDITO;COMPRA;2020-05-14T13:17:01;34310;65060
5;emulation multi-tasking;CANCELADO;2020-05-14T05:45:38;GIRO;VENTA;2020-05-13T23:59:10;79678;99405
6;reintermediate Lead Fantastic Cotton Pants;PENDIENTE;2020-05-13T22:19:58;EFECTIVO;COMPRA;2020-05-14T04:25:08;23095;42472
7;withdrawal even-keeled Outdoors;PAGADO;2020-05-13T21:39:03;GIRO;VENTA;2020-05-14T14:11:52;28582;64408
8;Product Open-source;PENDIENTE;2020-05-14T19:13:23;TARJETA_CREDITO;DEVOLUCION;2020-05-14T07:07:15;34414;79155
9;payment;CANCELADO;2020-05-14T11:25:55;TARJETA_CREDITO;VENTA;2020-05-14T06:09:03;39546;48354
10;hack;PAGADO;2020-05-14T16:18:09;TARJETA_CREDITO;DEVOLUCION;2020-05-14T17:31:38;6841;32856
