id;producto;codigo_producto;cantidad
1;Director Accounts channels;payment Fish responsive;Anguilla Home Loan Account
2;Ramp;Handcrafted Synchronised;Human
3;Nakfa programming front-end;Inverse Toys;Handmade Wooden Bike plum
4;Home Loan Account discrete;Incredible Soft Bike;maroon International
5;transitional content;Handcrafted protocol bus;Health Borders
6;back-end infomediaries;navigating Albania Bahamian Dollar;Togo Product
7;Fields International;New Israeli Sheqel Legacy;neural
8;data-warehouse Generic Cotton Hat;orchid success Missouri;Assistant
9;Technician XSS;Accountability contingency;Bypass Hat GB
10;payment deposit program;Tennessee Bedfordshire Configuration;Internal Rubber Gibraltar
